"BROKEN","CATEGORY","FAILED","PASSED","SKIPPED","UNKNOWN"
"0","deleta","0","5","0","0"
"0","atualiza","0","5","0","0"
"0","api","0","5","0","0"
"0","consulta","0","5","0","0"
